,0,1,2
4199,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4200,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4201,CD4 Memory,CD4+ Naive T,CD4 Naive
4202,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4203,CD4 Naive,CD8+ Naive T,CD8 Naive
4204,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4205,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4206,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4207,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4208,NK cell,NK cell,NK
4209,CD8 Naive,CD8+ Naive T,CD8 Naive
4210,B cell progenitor,Dendritic Cells,B intermediate
4211,pre-B cell,Dendritic Cells,B naive
4212,CD4 Memory,CD4+ Naive T,CD4 Naive
4213,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4214,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4215,NK cell,NK cell,NK
4216,CD8 Naive,CD8+ Naive T,CD8 Naive
4217,CD8 Naive,CD8+ Naive T,CD8 Naive
4218,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4219,CD4 Naive,CD4+ Naive T,CD4 Naive
4220,CD4 Memory,CD4+ Naive T,CD4 Naive
4221,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4222,B cell progenitor,Dendritic Cells,B intermediate
4223,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4224,B cell progenitor,Dendritic Cells,B intermediate
4225,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4226,pDC,pDC,pDC
4227,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4228,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4229,CD8 Naive,CD8+ Naive T,CD8 Naive
4230,CD16+ Monocytes,Dendritic Cells,CD16 Mono
4231,CD8 Naive,CD8+ Naive T,CD8 Naive
4232,CD4 Naive,CD4+ Naive T,CD4 Naive
4233,B cell progenitor,Dendritic Cells,B intermediate
4234,B cell progenitor,Dendritic Cells,B intermediate
4235,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4236,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4237,CD8 Naive,CD8+ Naive T,CD8 Naive
4238,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4239,CD8 Naive,CD8+ Naive T,CD8 Naive
4240,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4241,CD8 Naive,CD8+ Naive T,CD8 Naive
4242,CD16+ Monocytes,Dendritic Cells,CD16 Mono
4243,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4244,CD16+ Monocytes,Dendritic Cells,CD16 Mono
4245,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4246,Double negative T cell,CD8+ Effector Memory T,CD4 TEM
4247,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4248,B cell progenitor,Dendritic Cells,B intermediate
4249,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4250,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4251,NK cell,NK cell,NK
4252,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4253,CD8 Naive,CD8+ Naive T,CD8 Naive
4254,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4255,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4256,B cell progenitor,Dendritic Cells,B intermediate
4257,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4258,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4259,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4260,,CD8+ Naive T,CD8 Naive
4261,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4262,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4263,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4264,CD8 Naive,CD8+ Naive T,CD8 Naive
4265,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4266,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4267,NK cell,NK cell,NK
4268,NK cell,NK cell,NK
4269,CD16+ Monocytes,CD14+ Monocytes,CD14 Mono
4270,CD4 Memory,CD8+ Naive T,CD8 Naive
4271,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4272,CD4 Naive,CD4+ Naive T,CD4 Naive
4273,NK cell,NK cell,NK
4274,CD4 Memory,CD8+ Effector Memory T,CD8 TEM
4275,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4276,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4277,B cell progenitor,Dendritic Cells,B intermediate
4278,CD16+ Monocytes,Dendritic Cells,CD16 Mono
4279,CD14+ Monocytes,Dendritic Cells,CD16 Mono
4280,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4281,pre-B cell,Dendritic Cells,B naive
4282,CD4 Naive,CD4+ Naive T,CD4 Naive
4283,CD8 Naive,CD8+ Naive T,CD8 Naive
4284,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4285,CD8 Naive,CD8+ Naive T,CD8 Naive
4286,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4287,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4288,CD4 Naive,CD4+ Naive T,CD4 Naive
4289,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4290,Double negative T cell,CD4+ Central Memory T,CD4 TCM
4291,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4292,pre-B cell,Dendritic Cells,B naive
4293,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4294,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4295,CD8 Naive,CD8+ Naive T,CD8 Naive
4296,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4297,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4298,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4299,CD4 Memory,CD4+ Naive T,CD4 Naive
4300,CD16+ Monocytes,Dendritic Cells,CD16 Mono
4301,CD4 Memory,CD4+ Naive T,CD4 Naive
4302,CD4 Naive,CD4+ Naive T,CD4 Naive
4303,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4304,CD16+ Monocytes,Dendritic Cells,CD16 Mono
4305,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4306,CD4 Memory,CD4+ Naive T,CD4 Naive
4307,CD4 Naive,CD4+ Naive T,CD4 Naive
4308,CD4 Naive,CD8+ Naive T,CD8 Naive
4309,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4310,CD14+ Monocytes,Dendritic Cells,CD16 Mono
4311,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4312,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4313,CD16+ Monocytes,Dendritic Cells,CD16 Mono
4314,NK cell,NK cell,NK
4315,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4316,CD4 Memory,CD8+ Effector Memory T,CD8 TEM
4317,CD8 Naive,CD8+ Naive T,CD8 Naive
4318,NK cell,NK cell,NK
4319,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4320,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4321,CD4 Memory,CD4+ Naive T,CD4 Naive
4322,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4323,CD4 Naive,CD4+ Naive T,CD4 Naive
4324,B cell progenitor,Dendritic Cells,B intermediate
4325,CD4 Naive,CD4+ Naive T,CD4 Naive
4326,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4327,B cell progenitor,Dendritic Cells,B intermediate
4328,CD4 Naive,CD4+ Naive T,CD4 Naive
4329,B cell progenitor,Dendritic Cells,B intermediate
4330,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4331,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4332,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4333,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4334,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4335,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4336,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4337,pre-B cell,Dendritic Cells,B naive
4338,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4339,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4340,CD8 Naive,CD8+ Naive T,CD8 Naive
4341,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4342,CD8 Naive,CD8+ Naive T,CD8 Naive
4343,pre-B cell,Dendritic Cells,B naive
4344,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4345,CD4 Naive,CD4+ Naive T,CD4 Naive
4346,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4347,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4348,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4349,NK cell,NK cell,NK
4350,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4351,CD4 Naive,CD4+ Naive T,CD4 Naive
4352,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4353,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4354,B cell progenitor,Dendritic Cells,B intermediate
4355,pre-B cell,Dendritic Cells,B naive
4356,NK cell,NK cell,NK
4357,NK cell,NK cell,NK
4358,B cell progenitor,Dendritic Cells,B intermediate
4359,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4360,Double negative T cell,CD8+ Effector Memory T,CD4 TEM
4361,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4362,pDC,pDC,pDC
4363,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4364,CD8 Naive,CD8+ Effector Memory T,CD8 TEM
4365,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4366,NK cell,NK cell,NK
4367,CD16+ Monocytes,Dendritic Cells,CD16 Mono
4368,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4369,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4370,CD8 Naive,CD8+ Naive T,CD8 Naive
4371,CD16+ Monocytes,Dendritic Cells,CD16 Mono
4372,CD4 Naive,CD4+ Naive T,CD4 Naive
4373,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4374,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4375,Dendritic cell,Dendritic Cells,cDC2
4376,CD4 Naive,CD4+ Naive T,CD4 Naive
4377,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4378,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4379,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4380,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4381,NK cell,NK cell,NK
4382,CD14+ Monocytes,CD4+ Naive T,CD4 Naive
4383,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4384,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4385,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4386,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4387,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4388,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4389,B cell progenitor,Dendritic Cells,B intermediate
4390,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4391,pre-B cell,Dendritic Cells,B naive
4392,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4393,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4394,NK cell,NK cell,NK
4395,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4396,CD8 Naive,CD8+ Naive T,CD8 Naive
4397,CD4 Naive,CD4+ Naive T,CD4 Naive
4398,Dendritic cell,CD14+ Monocytes,CD14 Mono
4399,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4400,Dendritic cell,Dendritic Cells,cDC2
4401,B cell progenitor,Dendritic Cells,B intermediate
4402,CD4 Naive,CD4+ Naive T,CD4 Naive
4403,pre-B cell,Dendritic Cells,B naive
4404,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4405,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4406,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4407,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4408,Double negative T cell,CD8+ Effector Memory T,CD4 TEM
4409,pre-B cell,Dendritic Cells,B naive
4410,CD4 Naive,CD4+ Naive T,CD4 Naive
4411,CD16+ Monocytes,Dendritic Cells,CD16 Mono
4412,,CD8+ Effector Memory T,CD8 TEM
4413,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4414,CD4 Naive,CD4+ Naive T,CD4 Naive
4415,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4416,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4417,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4418,CD4 Naive,CD4+ Naive T,CD4 Naive
4419,CD8 Naive,CD8+ Naive T,CD8 Naive
4420,CD8 Naive,CD8+ Naive T,CD8 Naive
4421,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4422,CD8 Naive,CD8+ Naive T,CD8 Naive
4423,CD4 Memory,CD8+ Effector Memory T,CD8 TEM
4424,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4425,CD16+ Monocytes,Dendritic Cells,CD16 Mono
4426,Platelets,pDC,dnT
4427,B cell progenitor,Dendritic Cells,B intermediate
4428,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4429,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4430,NK cell,NK cell,NK
4431,CD4 Naive,CD4+ Naive T,CD4 Naive
4432,CD8 Naive,CD8+ Naive T,CD8 Naive
4433,CD4 Naive,CD4+ Naive T,CD4 Naive
4434,CD8 Naive,CD8+ Naive T,CD8 Naive
4435,CD4 Naive,CD4+ Naive T,CD4 Naive
4436,CD4 Naive,CD4+ Naive T,CD4 Naive
4437,CD4 Naive,CD4+ Naive T,CD4 Naive
4438,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4439,CD4 Memory,CD4+ Naive T,CD4 Naive
4440,CD8 Naive,CD8+ Naive T,CD8 Naive
4441,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4442,CD8 Naive,CD8+ Naive T,CD8 Naive
4443,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4444,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4445,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4446,CD4 Naive,CD4+ Naive T,CD4 Naive
4447,pre-B cell,Dendritic Cells,B naive
4448,CD4 Naive,CD4+ Naive T,CD4 Naive
4449,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4450,B cell progenitor,Dendritic Cells,B intermediate
4451,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4452,pre-B cell,Dendritic Cells,B naive
4453,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4454,CD4 Memory,CD4+ Naive T,CD4 Naive
4455,CD4 Memory,CD4+ Naive T,CD4 Naive
4456,Double negative T cell,CD8+ Effector Memory T,CD8 TEM
4457,CD8 Naive,CD8+ Naive T,CD8 Naive
4458,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4459,CD4 Naive,CD4+ Naive T,CD4 Naive
4460,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4461,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4462,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4463,CD4 Naive,CD8+ Effector Memory T,CD8 TEM
4464,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4465,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4466,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4467,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4468,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4469,B cell progenitor,pDC,Plasmablast
4470,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4471,,CD14+ Monocytes,CD14 Mono
4472,CD14+ Monocytes,Dendritic Cells,CD16 Mono
4473,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4474,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4475,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4476,NK cell,NK cell,NK
4477,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4478,CD4 Naive,CD4+ Naive T,CD4 Naive
4479,CD8 Naive,CD8+ Naive T,CD8 Naive
4480,CD8 Naive,CD8+ Naive T,CD8 Naive
4481,CD16+ Monocytes,Dendritic Cells,CD16 Mono
4482,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4483,B cell progenitor,Dendritic Cells,B intermediate
4484,CD8 Naive,CD8+ Naive T,CD8 Naive
4485,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4486,CD8 Naive,CD8+ Naive T,CD8 Naive
4487,CD4 Memory,CD4+ Naive T,CD4 Naive
4488,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4489,CD16+ Monocytes,Dendritic Cells,CD16 Mono
4490,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4491,CD8 Naive,CD8+ Naive T,CD8 Naive
4492,NK cell,NK cell,NK
4493,CD4 Naive,NK cell,NK
4494,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4495,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4496,Platelets,pDC,dnT
4497,CD8 Naive,CD8+ Naive T,CD8 Naive
4498,B cell progenitor,Dendritic Cells,B intermediate
4499,CD8 Naive,CD8+ Naive T,CD8 Naive
4500,B cell progenitor,Dendritic Cells,B intermediate
4501,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4502,CD8 effector,CD4+ Central Memory T,CD4 TCM
4503,pre-B cell,Dendritic Cells,B naive
4504,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4505,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4506,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4507,CD4 Naive,CD4+ Naive T,CD4 Naive
4508,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4509,CD16+ Monocytes,CD14+ Monocytes,CD14 Mono
4510,CD4 Naive,CD4+ Naive T,CD4 Naive
4511,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4512,NK cell,NK cell,NK
4513,CD4 Naive,CD4+ Naive T,CD4 Naive
4514,CD4 Memory,CD4+ Naive T,CD4 Naive
4515,CD4 Memory,CD4+ Naive T,CD4 Naive
4516,NK cell,NK cell,NK
4517,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4518,CD16+ Monocytes,Dendritic Cells,CD16 Mono
4519,NK cell,NK cell,NK
4520,Double negative T cell,CD8+ Effector Memory T,CD4 TEM
4521,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4522,CD8 Naive,CD8+ Naive T,CD8 Naive
4523,CD4 Memory,CD4+ Naive T,CD4 Naive
4524,CD4 Naive,CD4+ Naive T,CD4 Naive
4525,pre-B cell,Dendritic Cells,B naive
4526,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4527,NK cell,NK cell,NK
4528,NK cell,NK cell,NK
4529,CD8 Naive,CD8+ Naive T,CD8 Naive
4530,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4531,B cell progenitor,Dendritic Cells,B intermediate
4532,CD8 Naive,CD8+ Naive T,CD8 Naive
4533,CD4 Naive,CD4+ Naive T,CD4 Naive
4534,NK cell,NK cell,NK
4535,CD4 Memory,CD4+ Naive T,CD4 Naive
4536,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4537,CD8 Naive,CD8+ Naive T,CD8 Naive
4538,CD8 Naive,CD8+ Naive T,CD8 Naive
4539,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4540,CD4 Naive,CD4+ Naive T,CD4 Naive
4541,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4542,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4543,CD8 Naive,CD8+ Naive T,CD8 Naive
4544,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4545,CD8 Naive,CD8+ Naive T,CD8 Naive
4546,CD4 Naive,CD4+ Naive T,CD4 Naive
4547,CD4 Naive,CD4+ Naive T,CD4 Naive
4548,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4549,CD16+ Monocytes,Dendritic Cells,CD16 Mono
4550,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4551,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4552,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4553,CD4 Memory,CD4+ Naive T,CD4 Naive
4554,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4555,CD4 Naive,CD4+ Naive T,CD4 Naive
4556,NK cell,NK cell,NK
4557,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4558,B cell progenitor,Dendritic Cells,B intermediate
4559,pDC,pDC,pDC
4560,NK cell,NK cell,NK
4561,CD8 Naive,CD8+ Naive T,CD8 Naive
4562,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4563,CD4 Naive,CD4+ Naive T,CD4 Naive
4564,CD8 Naive,CD8+ Naive T,CD8 Naive
4565,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4566,CD4 Naive,CD4+ Naive T,CD4 Naive
4567,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4568,CD16+ Monocytes,Dendritic Cells,CD16 Mono
4569,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4570,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4571,CD8 Naive,CD8+ Naive T,CD8 Naive
4572,B cell progenitor,Dendritic Cells,B intermediate
4573,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4574,CD4 Naive,CD4+ Naive T,CD4 Naive
4575,CD8 Naive,CD8+ Naive T,CD8 Naive
4576,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4577,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4578,CD4 Naive,CD4+ Naive T,CD4 Naive
4579,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4580,NK cell,NK cell,NK
4581,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4582,CD4 Naive,CD4+ Naive T,CD4 Naive
4583,Double negative T cell,CD8+ Effector Memory T,CD4 TEM
4584,Dendritic cell,Dendritic Cells,cDC2
4585,B cell progenitor,Dendritic Cells,B intermediate
4586,CD4 Memory,CD4+ Naive T,CD4 Naive
4587,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4588,CD4 Naive,CD4+ Naive T,CD4 Naive
4589,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4590,NK cell,NK cell,NK
4591,CD4 Naive,CD4+ Naive T,CD4 Naive
4592,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4593,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4594,Dendritic cell,Dendritic Cells,cDC2
4595,CD4 Memory,Dendritic Cells,B intermediate
4596,CD4 Naive,CD4+ Naive T,CD4 Naive
4597,CD8 Naive,CD8+ Naive T,CD8 Naive
4598,CD4 Naive,CD4+ Naive T,CD4 Naive
4599,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4600,CD8 Naive,CD8+ Naive T,CD8 Naive
4601,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4602,CD8 Naive,CD8+ Naive T,CD8 Naive
4603,pre-B cell,Dendritic Cells,B naive
4604,NK cell,NK cell,NK
4605,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4606,CD16+ Monocytes,Dendritic Cells,CD16 Mono
4607,pre-B cell,Dendritic Cells,B naive
4608,CD4 Memory,CD4+ Naive T,CD4 Naive
4609,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4610,CD4 Naive,CD4+ Naive T,CD4 Naive
4611,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4612,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4613,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4614,pDC,pDC,pDC
4615,CD8 Naive,CD8+ Naive T,CD8 Naive
4616,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4617,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4618,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4619,CD8 Naive,CD8+ Naive T,CD8 Naive
4620,CD8 Naive,CD8+ Naive T,CD8 Naive
4621,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4622,CD8 Naive,CD8+ Naive T,CD8 Naive
4623,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4624,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4625,CD8 Naive,CD8+ Naive T,CD8 Naive
4626,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4627,CD8 Naive,CD8+ Naive T,CD8 Naive
4628,CD4 Memory,CD4+ Naive T,CD4 Naive
4629,CD4 Memory,CD4+ Naive T,CD4 Naive
4630,CD4 Naive,CD4+ Naive T,CD4 Naive
4631,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4632,CD4 Naive,CD4+ Naive T,CD4 Naive
4633,pre-B cell,Dendritic Cells,B naive
4634,CD4 Naive,CD4+ Naive T,CD4 Naive
4635,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4636,CD4 Naive,CD4+ Naive T,CD4 Naive
4637,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4638,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4639,B cell progenitor,Dendritic Cells,B intermediate
4640,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4641,CD4 Naive,CD4+ Naive T,CD4 Naive
4642,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4643,pre-B cell,Dendritic Cells,B naive
4644,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4645,CD16+ Monocytes,Dendritic Cells,CD16 Mono
4646,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4647,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4648,pre-B cell,Dendritic Cells,B naive
4649,NK cell,NK cell,NK
4650,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4651,CD4 Naive,CD4+ Naive T,CD4 Naive
4652,NK cell,NK cell,NK
4653,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4654,CD4 Memory,CD4+ Naive T,CD4 Naive
4655,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4656,CD4 Naive,CD4+ Naive T,CD4 Naive
4657,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4658,CD4 Naive,CD4+ Naive T,CD4 Naive
4659,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4660,CD4 Naive,CD4+ Naive T,CD4 Naive
4661,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4662,Dendritic cell,Dendritic Cells,cDC2
4663,CD8 effector,CD8+ Effector Memory T,CD8 TEM
4664,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4665,CD8 Naive,CD8+ Naive T,CD8 Naive
4666,CD4 Naive,CD4+ Naive T,CD4 Naive
4667,CD16+ Monocytes,Dendritic Cells,CD16 Mono
4668,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4669,NK cell,NK cell,NK
4670,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4671,CD4 Memory,CD4+ Central Memory T,CD4 TCM
4672,CD4 Naive,CD4+ Naive T,CD4 Naive
4673,CD8 Naive,CD8+ Naive T,CD8 Naive
4674,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4675,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4676,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4677,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
4678,pre-B cell,Dendritic Cells,B naive
